composition gfa{AM,CR} processing{meltspin,sputtering}
Co23.100000V49.500000Zr27.400000 AM sputtering
Co22.900000V48.200000Zr28.900000 AM sputtering
Co22.600000V47.000000Zr30.500000 AM sputtering
Co22.300000V45.700000Zr32.100000 AM sputtering
Co21.900000V44.400000Zr33.700000 AM sputtering
Co21.500000V43.000000Zr35.400000 AM sputtering
Co21.100000V41.700000Zr37.200000 AM sputtering
Co20.700000V40.300000Zr39.000000 AM sputtering
Co26.600000V61.900000Zr11.500000 CR sputtering
Co26.700000V61.200000Zr12.200000 CR sputtering
Co26.700000V60.400000Zr12.900000 CR sputtering
Co26.800000V59.600000Zr13.700000 CR sputtering
Co26.800000V58.700000Zr14.500000 CR sputtering
Co26.800000V57.900000Zr15.300000 CR sputtering
Co26.800000V57.000000Zr16.200000 AM sputtering
Co26.700000V56.100000Zr17.200000 AM sputtering
Co26.600000V55.100000Zr18.200000 AM sputtering
Co26.500000V54.200000Zr19.300000 AM sputtering
Co26.400000V53.200000Zr20.400000 AM sputtering
Co26.300000V52.200000Zr21.600000 AM sputtering
Co26.100000V51.100000Zr22.800000 AM sputtering
Co25.900000V50.000000Zr24.100000 AM sputtering
Co25.600000V48.900000Zr25.400000 AM sputtering
Co25.400000V47.800000Zr26.900000 AM sputtering
Co25.100000V46.600000Zr28.300000 AM sputtering
Co24.800000V45.400000Zr29.800000 AM sputtering
Co24.400000V44.200000Zr31.400000 AM sputtering
Co24.000000V43.000000Zr33.000000 AM sputtering
Co23.600000V41.700000Zr34.700000 AM sputtering
Co23.100000V40.500000Zr36.400000 AM sputtering
Co22.700000V39.200000Zr38.200000 AM sputtering
Co29.300000V59.400000Zr11.400000 CR sputtering
Co29.300000V58.700000Zr12.000000 CR sputtering
Co29.400000V57.900000Zr12.700000 CR sputtering
Co29.400000V57.100000Zr13.500000 CR sputtering
Co29.400000V56.300000Zr14.200000 CR sputtering
Co29.400000V55.500000Zr15.100000 CR sputtering
Co29.400000V54.700000Zr16.000000 CR sputtering
Co29.300000V53.800000Zr16.900000 AM sputtering
Co29.200000V52.900000Zr17.900000 AM sputtering
Co29.100000V52.000000Zr18.900000 AM sputtering
Co28.900000V51.100000Zr20.000000 AM sputtering
Co28.800000V50.100000Zr21.100000 AM sputtering
Co28.600000V49.100000Zr22.300000 AM sputtering
Co28.300000V48.100000Zr23.600000 AM sputtering
Co28.100000V47.100000Zr24.900000 AM sputtering
Co27.800000V46.000000Zr26.200000 AM sputtering
Co27.400000V44.900000Zr27.600000 AM sputtering
Co27.100000V43.800000Zr29.100000 AM sputtering
Co26.700000V42.700000Zr30.600000 AM sputtering
Co26.200000V41.500000Zr32.200000 AM sputtering
Co25.800000V40.400000Zr33.900000 AM sputtering
Co25.300000V39.200000Zr35.500000 AM sputtering
Co24.800000V38.000000Zr37.300000 AM sputtering
Co32.100000V56.700000Zr11.200000 CR sputtering
Co32.100000V56.000000Zr11.800000 CR sputtering
Co32.200000V55.300000Zr12.500000 CR sputtering
Co32.200000V54.600000Zr13.200000 CR sputtering
Co32.200000V53.900000Zr14.000000 CR sputtering
Co32.100000V53.100000Zr14.800000 CR sputtering
Co32.100000V52.300000Zr15.600000 CR sputtering
Co32.000000V51.500000Zr16.500000 CR sputtering
Co31.900000V50.700000Zr17.400000 AM sputtering
Co31.800000V49.800000Zr18.400000 AM sputtering
Co31.600000V48.900000Zr19.500000 AM sputtering
Co31.400000V48.000000Zr20.600000 AM sputtering
Co31.200000V47.100000Zr21.700000 AM sputtering
Co30.900000V46.200000Zr22.900000 AM sputtering
Co30.600000V45.200000Zr24.200000 AM sputtering
Co30.300000V44.200000Zr25.500000 AM sputtering
Co29.900000V43.200000Zr26.900000 AM sputtering
Co29.500000V42.200000Zr28.300000 AM sputtering
Co29.100000V41.100000Zr29.800000 AM sputtering
Co28.600000V40.000000Zr31.300000 AM sputtering
Co28.100000V38.900000Zr32.900000 AM sputtering
Co27.600000V37.800000Zr34.600000 AM sputtering
Co27.000000V36.700000Zr36.300000 AM sputtering
Co35.100000V54.000000Zr10.900000 CR sputtering
Co35.100000V53.300000Zr11.500000 CR sputtering
Co35.100000V52.700000Zr12.200000 CR sputtering
Co35.100000V52.000000Zr12.900000 CR sputtering
Co35.100000V51.300000Zr13.600000 CR sputtering
Co35.000000V50.600000Zr14.400000 CR sputtering
Co35.000000V49.800000Zr15.200000 CR sputtering
Co34.800000V49.100000Zr16.100000 CR sputtering
Co34.700000V48.300000Zr17.000000 CR sputtering
Co34.600000V47.500000Zr17.900000 AM sputtering
Co34.400000V46.700000Zr18.900000 AM sputtering
Co34.100000V45.900000Zr20.000000 AM sputtering
Co33.900000V45.000000Zr21.100000 AM sputtering
Co33.600000V44.100000Zr22.300000 AM sputtering
Co33.300000V43.200000Zr23.500000 AM sputtering
Co32.900000V42.300000Zr24.800000 AM sputtering
Co32.500000V41.400000Zr26.100000 AM sputtering
Co32.100000V40.400000Zr27.500000 AM sputtering
Co31.600000V39.500000Zr28.900000 AM sputtering
Co31.100000V38.500000Zr30.400000 AM sputtering
Co30.600000V37.500000Zr31.900000 AM sputtering
Co30.000000V36.400000Zr33.500000 AM sputtering
Co29.400000V35.400000Zr35.200000 AM sputtering
Co38.200000V50.600000Zr11.200000 CR sputtering
Co38.200000V50.000000Zr11.900000 CR sputtering
Co38.100000V49.300000Zr12.500000 CR sputtering
Co38.100000V48.700000Zr13.200000 CR sputtering
Co38.000000V48.000000Zr14.000000 CR sputtering
Co37.900000V47.300000Zr14.700000 CR sputtering
Co37.800000V46.600000Zr15.600000 CR sputtering
Co37.600000V45.900000Zr16.400000 CR sputtering
Co37.500000V45.200000Zr17.400000 CR sputtering
Co37.300000V44.400000Zr18.300000 CR sputtering
Co37.000000V43.700000Zr19.300000 AM sputtering
Co36.700000V42.900000Zr20.400000 AM sputtering
Co36.400000V42.100000Zr21.500000 AM sputtering
Co36.100000V41.200000Zr22.700000 AM sputtering
Co35.700000V40.400000Zr23.900000 AM sputtering
Co35.300000V39.500000Zr25.200000 AM sputtering
Co34.800000V38.700000Zr26.500000 AM sputtering
Co34.300000V37.800000Zr27.900000 AM sputtering
Co33.800000V36.900000Zr29.400000 AM sputtering
Co33.200000V35.900000Zr30.800000 AM sputtering
Co32.600000V35.000000Zr32.400000 AM sputtering
Co41.300000V47.800000Zr10.900000 CR sputtering
Co41.300000V47.200000Zr11.500000 CR sputtering
Co41.300000V46.600000Zr12.100000 CR sputtering
Co41.200000V46.000000Zr12.800000 CR sputtering
Co41.100000V45.400000Zr13.500000 CR sputtering
Co41.000000V44.800000Zr14.200000 CR sputtering
Co40.900000V44.100000Zr15.000000 CR sputtering
Co40.700000V43.500000Zr15.900000 CR sputtering
Co40.500000V42.800000Zr16.700000 CR sputtering
Co40.200000V42.100000Zr17.700000 CR sputtering
Co40.000000V41.400000Zr18.600000 CR sputtering
Co39.700000V40.700000Zr19.600000 AM sputtering
Co39.300000V40.000000Zr20.700000 AM sputtering
Co39.000000V39.200000Zr21.800000 AM sputtering
Co38.500000V38.400000Zr23.000000 AM sputtering
Co38.100000V37.700000Zr24.200000 AM sputtering
Co37.600000V36.900000Zr25.500000 AM sputtering
Co37.100000V36.000000Zr26.900000 AM sputtering
Co36.500000V35.200000Zr28.200000 AM sputtering
Co35.900000V34.400000Zr29.700000 AM sputtering
Co35.300000V33.500000Zr31.200000 AM sputtering
Co44.500000V44.400000Zr11.100000 CR sputtering
Co44.500000V43.800000Zr11.700000 CR sputtering
Co44.400000V43.300000Zr12.300000 CR sputtering
Co44.300000V42.700000Zr13.000000 CR sputtering
Co44.100000V42.200000Zr13.700000 CR sputtering
Co44.000000V41.600000Zr14.400000 CR sputtering
Co43.800000V41.000000Zr15.200000 CR sputtering
Co43.500000V40.400000Zr16.100000 CR sputtering
Co43.300000V39.800000Zr16.900000 CR sputtering
Co43.000000V39.100000Zr17.900000 CR sputtering
Co42.700000V38.500000Zr18.800000 CR sputtering
Co42.300000V37.800000Zr19.900000 CR sputtering
Co41.900000V37.100000Zr20.900000 AM sputtering
Co41.500000V36.400000Zr22.100000 AM sputtering
Co41.000000V35.700000Zr23.200000 AM sputtering
Co40.500000V35.000000Zr24.500000 AM sputtering
Co40.000000V34.300000Zr25.700000 AM sputtering
Co39.400000V33.500000Zr27.100000 AM sputtering
Co38.800000V32.800000Zr28.500000 AM sputtering
Co47.700000V41.100000Zr11.200000 CR sputtering
Co47.600000V40.600000Zr11.800000 CR sputtering
Co47.500000V40.100000Zr12.400000 CR sputtering
Co47.300000V39.600000Zr13.100000 CR sputtering
Co47.100000V39.100000Zr13.800000 CR sputtering
Co46.900000V38.500000Zr14.600000 CR sputtering
Co46.700000V38.000000Zr15.400000 CR sputtering
Co46.400000V37.400000Zr16.200000 CR sputtering
Co46.100000V36.800000Zr17.100000 CR sputtering
Co45.700000V36.300000Zr18.000000 CR sputtering
Co45.400000V35.700000Zr19.000000 CR sputtering
Co45.000000V35.100000Zr20.000000 CR sputtering
Co44.500000V34.400000Zr21.100000 AM sputtering
Co44.000000V33.800000Zr22.200000 AM sputtering
Co43.500000V33.200000Zr23.400000 AM sputtering
Co42.900000V32.500000Zr24.600000 AM sputtering
Co42.300000V31.800000Zr25.900000 AM sputtering
Co50.800000V37.900000Zr11.300000 CR sputtering
Co50.700000V37.500000Zr11.900000 CR sputtering
Co50.500000V37.000000Zr12.500000 CR sputtering
Co50.300000V36.500000Zr13.200000 CR sputtering
Co50.100000V36.100000Zr13.900000 CR sputtering
Co49.800000V35.600000Zr14.600000 CR sputtering
Co49.500000V35.100000Zr15.400000 CR sputtering
Co49.200000V34.600000Zr16.200000 CR sputtering
Co48.800000V34.000000Zr17.100000 CR sputtering
Co48.400000V33.500000Zr18.000000 CR sputtering
Co48.000000V33.000000Zr19.000000 CR sputtering
Co47.600000V32.400000Zr20.000000 CR sputtering
Co47.100000V31.900000Zr21.100000 CR sputtering
Co46.500000V31.300000Zr22.200000 AM sputtering
Co45.900000V30.700000Zr23.400000 AM sputtering
Co53.900000V34.900000Zr11.300000 CR sputtering
Co53.700000V34.500000Zr11.900000 CR sputtering
Co53.400000V34.100000Zr12.500000 CR sputtering
Co53.200000V33.600000Zr13.200000 CR sputtering
Co52.900000V33.200000Zr13.900000 CR sputtering
Co52.600000V32.800000Zr14.600000 CR sputtering
Co52.300000V32.300000Zr15.400000 CR sputtering
Co51.900000V31.800000Zr16.200000 CR sputtering
Co51.500000V31.400000Zr17.100000 CR sputtering
Co51.100000V30.900000Zr18.000000 CR sputtering
Co50.600000V30.400000Zr19.000000 CR sputtering
Co50.100000V29.900000Zr20.000000 CR sputtering
Co49.600000V29.400000Zr21.000000 CR sputtering
Co56.600000V31.600000Zr11.800000 CR sputtering
Co56.300000V31.300000Zr12.400000 CR sputtering
Co56.000000V30.900000Zr13.100000 CR sputtering
Co55.700000V30.500000Zr13.800000 CR sputtering
Co55.400000V30.100000Zr14.500000 CR sputtering
Co55.000000V29.700000Zr15.300000 CR sputtering
Co54.600000V29.300000Zr16.100000 CR sputtering
Co54.200000V28.900000Zr17.000000 CR sputtering
Co53.700000V28.400000Zr17.900000 CR sputtering
